cell,model,method,configuration,feature_groups,feature_count,fold,n,unsafe_acceptance_count,unsafe_acceptance_rate,dense_avoidance_rate
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,0,394,15,0.03807106598984772,1.0
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,1,202,24,0.1188118811881188,0.9900990099009901
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,2,202,2,0.009900990099009901,0.48514851485148514
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,3,201,5,0.024875621890547265,0.5422885572139303
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,4,201,1,0.004975124378109453,0.3880597014925373
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,0,394,0,0.0,0.0
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,1,202,25,0.12376237623762376,1.0
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,2,202,9,0.04455445544554455,1.0
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,3,201,10,0.04975124378109453,1.0
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,4,201,0,0.0,0.0
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,0,394,2,0.005076142131979695,0.42385786802030456
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,1,202,0,0.0,0.0
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,2,202,0,0.0,0.01485148514851485
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,3,201,4,0.01990049751243781,0.31343283582089554
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,4,201,1,0.004975124378109453,0.01990049751243781
7b_scope,7b,scope,A1_structure_only,question_structure,4,0,394,0,0.0,0.0
7b_scope,7b,scope,A1_structure_only,question_structure,4,1,202,0,0.0,0.0
7b_scope,7b,scope,A1_structure_only,question_structure,4,2,202,0,0.0,0.0
7b_scope,7b,scope,A1_structure_only,question_structure,4,3,201,0,0.0,0.0
7b_scope,7b,scope,A1_structure_only,question_structure,4,4,201,0,0.0,0.0
7b_scope,7b,scope,A2_task_only,task_source,6,0,394,6,0.015228426395939087,0.6675126903553299
7b_scope,7b,scope,A2_task_only,task_source,6,1,202,0,0.0,0.0
7b_scope,7b,scope,A2_task_only,task_source,6,2,202,0,0.0,0.0
7b_scope,7b,scope,A2_task_only,task_source,6,3,201,4,0.01990049751243781,0.3034825870646766
7b_scope,7b,scope,A2_task_only,task_source,6,4,201,1,0.004975124378109453,0.01990049751243781
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,0,394,0,0.0,0.0
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,1,202,0,0.0,0.0049504950495049506
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,2,202,4,0.019801980198019802,0.09405940594059406
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,3,201,10,0.04975124378109453,0.47761194029850745
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,4,201,3,0.014925373134328358,0.06965174129353234
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,0,394,0,0.0,0.0
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,1,202,0,0.0,0.0
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,2,202,3,0.01485148514851485,0.0297029702970297
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,3,201,1,0.004975124378109453,0.024875621890547265
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,4,201,1,0.004975124378109453,0.029850746268656716
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,0,394,4,0.01015228426395939,0.6675126903553299
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,1,202,0,0.0,0.0
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,2,202,0,0.0,0.0
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,3,201,4,0.01990049751243781,0.29850746268656714
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,4,201,0,0.0,0.009950248756218905
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,0,394,0,0.0,0.0
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,1,202,0,0.0,0.0
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,2,202,0,0.0,0.0
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,3,201,0,0.0,0.0
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,4,201,0,0.0,0.0
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,0,394,10,0.025380710659898477,1.0
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,1,202,23,0.11386138613861387,0.9900990099009901
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,2,202,3,0.01485148514851485,0.3712871287128713
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,3,201,4,0.01990049751243781,0.48756218905472637
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,4,201,7,0.03482587064676617,0.48756218905472637
7b_random,7b,random,A1_structure_only,question_structure,4,0,394,0,0.0,0.0
7b_random,7b,random,A1_structure_only,question_structure,4,1,202,23,0.11386138613861387,0.9900990099009901
7b_random,7b,random,A1_structure_only,question_structure,4,2,202,2,0.009900990099009901,0.3465346534653465
7b_random,7b,random,A1_structure_only,question_structure,4,3,201,2,0.009950248756218905,0.3034825870646766
7b_random,7b,random,A1_structure_only,question_structure,4,4,201,4,0.01990049751243781,0.373134328358209
7b_random,7b,random,A2_task_only,task_source,6,0,394,12,0.030456852791878174,1.0
7b_random,7b,random,A2_task_only,task_source,6,1,202,23,0.11386138613861387,0.9900990099009901
7b_random,7b,random,A2_task_only,task_source,6,2,202,2,0.009900990099009901,0.3465346534653465
7b_random,7b,random,A2_task_only,task_source,6,3,201,2,0.009950248756218905,0.3034825870646766
7b_random,7b,random,A2_task_only,task_source,6,4,201,5,0.024875621890547265,0.373134328358209
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,0,394,0,0.0,0.0
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,1,202,24,0.1188118811881188,0.995049504950495
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,2,202,5,0.024752475247524754,0.4158415841584158
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,3,201,5,0.024875621890547265,0.5373134328358209
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,4,201,11,0.05472636815920398,0.5671641791044776
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,0,394,0,0.0,0.0
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,1,202,24,0.1188118811881188,0.995049504950495
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,2,202,7,0.034653465346534656,0.42574257425742573
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,3,201,5,0.024875621890547265,0.5472636815920398
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,4,201,11,0.05472636815920398,0.5522388059701493
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,0,394,15,0.03807106598984772,1.0
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,1,202,23,0.11386138613861387,0.9900990099009901
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,2,202,2,0.009900990099009901,0.3465346534653465
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,3,201,2,0.009950248756218905,0.3034825870646766
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,4,201,5,0.024875621890547265,0.373134328358209
7b_random,7b,random,A6_intercept_only,intercept_only,0,0,394,0,0.0,0.0
7b_random,7b,random,A6_intercept_only,intercept_only,0,1,202,24,0.1188118811881188,1.0
7b_random,7b,random,A6_intercept_only,intercept_only,0,2,202,0,0.0,0.0
7b_random,7b,random,A6_intercept_only,intercept_only,0,3,201,0,0.0,0.0
7b_random,7b,random,A6_intercept_only,intercept_only,0,4,201,0,0.0,0.0
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,0,394,18,0.04568527918781726,1.0
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,1,202,12,0.0594059405940594,1.0
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,2,202,0,0.0,0.6831683168316832
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,3,201,5,0.024875621890547265,0.835820895522388
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,4,201,11,0.05472636815920398,0.9601990049751243
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,0,394,3,0.007614213197969543,1.0
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,1,202,12,0.0594059405940594,1.0
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,2,202,4,0.019801980198019802,1.0
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,3,201,6,0.029850746268656716,1.0
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,4,201,7,0.03482587064676617,1.0
13b_fastv,13b,fastv,A2_task_only,task_source,6,0,394,22,0.05583756345177665,1.0
13b_fastv,13b,fastv,A2_task_only,task_source,6,1,202,12,0.0594059405940594,1.0
13b_fastv,13b,fastv,A2_task_only,task_source,6,2,202,0,0.0,0.3465346534653465
13b_fastv,13b,fastv,A2_task_only,task_source,6,3,201,0,0.0,0.3034825870646766
13b_fastv,13b,fastv,A2_task_only,task_source,6,4,201,12,0.05970149253731343,1.0
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,0,394,3,0.007614213197969543,1.0
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,1,202,12,0.0594059405940594,1.0
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,2,202,6,0.0297029702970297,0.9504950495049505
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,3,201,9,0.04477611940298507,0.9900497512437811
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,4,201,17,0.0845771144278607,1.0
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,0,394,3,0.007614213197969543,1.0
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,1,202,12,0.0594059405940594,1.0
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,2,202,3,0.01485148514851485,0.9504950495049505
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,3,201,7,0.03482587064676617,0.9850746268656716
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,4,201,13,0.06467661691542288,0.9651741293532339
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,0,394,22,0.05583756345177665,1.0
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,1,202,12,0.0594059405940594,0.9900990099009901
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,2,202,0,0.0,0.3465346534653465
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,3,201,1,0.004975124378109453,0.3482587064676617
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,4,201,12,0.05970149253731343,0.9751243781094527
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,0,394,3,0.007614213197969543,1.0
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,1,202,12,0.0594059405940594,1.0
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,2,202,4,0.019801980198019802,1.0
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,3,201,6,0.029850746268656716,1.0
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,4,201,7,0.03482587064676617,1.0
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,0,394,11,0.027918781725888325,1.0
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,1,202,32,0.15841584158415842,0.9900990099009901
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,2,202,0,0.0,0.3415841584158416
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,3,201,3,0.014925373134328358,0.3333333333333333
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,4,201,1,0.004975124378109453,0.373134328358209
13b_scope,13b,scope,A1_structure_only,question_structure,4,0,394,0,0.0,0.0
13b_scope,13b,scope,A1_structure_only,question_structure,4,1,202,32,0.15841584158415842,0.9900990099009901
13b_scope,13b,scope,A1_structure_only,question_structure,4,2,202,0,0.0,0.0
13b_scope,13b,scope,A1_structure_only,question_structure,4,3,201,0,0.0,0.0
13b_scope,13b,scope,A1_structure_only,question_structure,4,4,201,0,0.0,0.0
13b_scope,13b,scope,A2_task_only,task_source,6,0,394,18,0.04568527918781726,1.0
13b_scope,13b,scope,A2_task_only,task_source,6,1,202,0,0.0,0.0
13b_scope,13b,scope,A2_task_only,task_source,6,2,202,0,0.0,0.3465346534653465
13b_scope,13b,scope,A2_task_only,task_source,6,3,201,0,0.0,0.3034825870646766
13b_scope,13b,scope,A2_task_only,task_source,6,4,201,4,0.01990049751243781,0.373134328358209
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,0,394,0,0.0,0.0
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,1,202,0,0.0,0.0
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,2,202,8,0.039603960396039604,0.4306930693069307
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,3,201,6,0.029850746268656716,0.43283582089552236
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,4,201,9,0.04477611940298507,0.4925373134328358
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,0,394,0,0.0,0.0
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,1,202,32,0.15841584158415842,0.9900990099009901
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,2,202,3,0.01485148514851485,0.36633663366336633
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,3,201,6,0.029850746268656716,0.4079601990049751
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,4,201,5,0.024875621890547265,0.472636815920398
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,0,394,12,0.030456852791878174,1.0
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,1,202,32,0.15841584158415842,0.9900990099009901
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,2,202,0,0.0,0.3465346534653465
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,3,201,0,0.0,0.3034825870646766
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,4,201,1,0.004975124378109453,0.373134328358209
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,0,394,0,0.0,0.0
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,1,202,32,0.15841584158415842,1.0
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,2,202,0,0.0,0.0
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,3,201,0,0.0,0.0
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,4,201,0,0.0,0.0
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,0,394,11,0.027918781725888325,1.0
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,1,202,26,0.12871287128712872,0.9900990099009901
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,2,202,1,0.0049504950495049506,0.37623762376237624
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,3,201,4,0.01990049751243781,0.4129353233830846
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,4,201,5,0.024875621890547265,0.3880597014925373
13b_random,13b,random,A1_structure_only,question_structure,4,0,394,0,0.0,0.0
13b_random,13b,random,A1_structure_only,question_structure,4,1,202,26,0.12871287128712872,0.9900990099009901
13b_random,13b,random,A1_structure_only,question_structure,4,2,202,1,0.0049504950495049506,0.3465346534653465
13b_random,13b,random,A1_structure_only,question_structure,4,3,201,1,0.004975124378109453,0.34328358208955223
13b_random,13b,random,A1_structure_only,question_structure,4,4,201,1,0.004975124378109453,0.373134328358209
13b_random,13b,random,A2_task_only,task_source,6,0,394,14,0.03553299492385787,1.0
13b_random,13b,random,A2_task_only,task_source,6,1,202,26,0.12871287128712872,0.9900990099009901
13b_random,13b,random,A2_task_only,task_source,6,2,202,1,0.0049504950495049506,0.3465346534653465
13b_random,13b,random,A2_task_only,task_source,6,3,201,1,0.004975124378109453,0.3034825870646766
13b_random,13b,random,A2_task_only,task_source,6,4,201,5,0.024875621890547265,0.373134328358209
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,0,394,0,0.0,0.0
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,1,202,26,0.12871287128712872,0.995049504950495
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,2,202,7,0.034653465346534656,0.5346534653465347
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,3,201,6,0.029850746268656716,0.572139303482587
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,4,201,2,0.009950248756218905,0.5771144278606966
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,0,394,0,0.0,0.0
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,1,202,26,0.12871287128712872,0.9900990099009901
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,2,202,6,0.0297029702970297,0.5297029702970297
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,3,201,7,0.03482587064676617,0.6268656716417911
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,4,201,2,0.009950248756218905,0.5472636815920398
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,0,394,13,0.03299492385786802,1.0
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,1,202,26,0.12871287128712872,0.9900990099009901
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,2,202,1,0.0049504950495049506,0.3465346534653465
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,3,201,1,0.004975124378109453,0.3034825870646766
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,4,201,5,0.024875621890547265,0.373134328358209
13b_random,13b,random,A6_intercept_only,intercept_only,0,0,394,0,0.0,0.0
13b_random,13b,random,A6_intercept_only,intercept_only,0,1,202,26,0.12871287128712872,1.0
13b_random,13b,random,A6_intercept_only,intercept_only,0,2,202,0,0.0,0.0
13b_random,13b,random,A6_intercept_only,intercept_only,0,3,201,19,0.0945273631840796,1.0
13b_random,13b,random,A6_intercept_only,intercept_only,0,4,201,0,0.0,0.0
