cell,model,method,configuration,feature_groups,feature_count,action,count
7b_scope,7b,scope,A2_task_only,task_source,6,432,60
7b_scope,7b,scope,A2_task_only,task_source,6,dense,872
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,64,3
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,128,2
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,256,25
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,432,100
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,dense,1070
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,64,0
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,128,0
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,256,11
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,432,6
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,dense,1183
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,64,0
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,128,0
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,256,1
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,432,324
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,dense,875
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,64,0
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,128,0
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,256,0
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,432,0
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,dense,1200
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,64,0
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,128,0
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,256,273
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,432,592
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,dense,335
7b_random,7b,random,A1_structure_only,question_structure,4,64,0
7b_random,7b,random,A1_structure_only,question_structure,4,128,0
7b_random,7b,random,A1_structure_only,question_structure,4,256,0
7b_random,7b,random,A1_structure_only,question_structure,4,432,406
7b_random,7b,random,A1_structure_only,question_structure,4,dense,794
7b_random,7b,random,A2_task_only,task_source,6,64,0
7b_random,7b,random,A2_task_only,task_source,6,128,131
7b_random,7b,random,A2_task_only,task_source,6,256,138
7b_random,7b,random,A2_task_only,task_source,6,432,531
7b_random,7b,random,A2_task_only,task_source,6,dense,400
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,64,1
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,128,3
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,256,21
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,432,482
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,dense,693
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,64,4
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,128,1
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,256,24
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,432,479
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,dense,692
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,64,0
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,128,188
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,256,81
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,432,531
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,dense,400
7b_random,7b,random,A6_intercept_only,intercept_only,0,64,0
7b_random,7b,random,A6_intercept_only,intercept_only,0,128,0
7b_random,7b,random,A6_intercept_only,intercept_only,0,256,0
7b_random,7b,random,A6_intercept_only,intercept_only,0,432,202
7b_random,7b,random,A6_intercept_only,intercept_only,0,dense,998
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,64,3
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,128,0
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,256,410
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,432,682
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,dense,105
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,64,0
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,128,0
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,256,4
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,432,1196
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,dense,0
13b_fastv,13b,fastv,A2_task_only,task_source,6,64,0
13b_fastv,13b,fastv,A2_task_only,task_source,6,128,0
13b_fastv,13b,fastv,A2_task_only,task_source,6,256,465
13b_fastv,13b,fastv,A2_task_only,task_source,6,432,463
13b_fastv,13b,fastv,A2_task_only,task_source,6,dense,272
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,64,6
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,128,4
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,256,199
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,432,979
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,dense,12
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,64,6
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,128,3
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,256,98
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,432,1073
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,dense,20
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,64,0
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,128,0
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,256,465
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,432,465
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,dense,270
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,64,0
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,128,0
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,256,0
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,432,1200
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,dense,0
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,64,0
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,128,2
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,256,188
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,432,615
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,dense,395
13b_scope,13b,scope,A1_structure_only,question_structure,4,64,0
13b_scope,13b,scope,A1_structure_only,question_structure,4,128,0
13b_scope,13b,scope,A1_structure_only,question_structure,4,256,0
13b_scope,13b,scope,A1_structure_only,question_structure,4,432,200
13b_scope,13b,scope,A1_structure_only,question_structure,4,dense,1000
13b_scope,13b,scope,A2_task_only,task_source,6,64,0
13b_scope,13b,scope,A2_task_only,task_source,6,128,1
13b_scope,13b,scope,A2_task_only,task_source,6,256,466
13b_scope,13b,scope,A2_task_only,task_source,6,432,133
13b_scope,13b,scope,A2_task_only,task_source,6,dense,600
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,64,7
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,128,7
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,256,178
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,432,81
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,dense,927
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,64,3
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,128,3
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,256,16
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,432,429
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,dense,749
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,64,0
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,128,0
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,256,231
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,432,569
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,dense,400
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,64,0
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,128,0
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,256,0
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,432,202
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,dense,998
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,64,1
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,128,0
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,256,300
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,432,530
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,dense,369
13b_random,13b,random,A1_structure_only,question_structure,4,64,0
13b_random,13b,random,A1_structure_only,question_structure,4,128,0
13b_random,13b,random,A1_structure_only,question_structure,4,256,0
13b_random,13b,random,A1_structure_only,question_structure,4,432,414
13b_random,13b,random,A1_structure_only,question_structure,4,dense,786
13b_random,13b,random,A2_task_only,task_source,6,64,0
13b_random,13b,random,A2_task_only,task_source,6,128,0
13b_random,13b,random,A2_task_only,task_source,6,256,333
13b_random,13b,random,A2_task_only,task_source,6,432,467
13b_random,13b,random,A2_task_only,task_source,6,dense,400
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,64,5
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,128,0
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,256,9
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,432,526
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,dense,660
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,64,5
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,128,0
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,256,2
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,432,536
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,dense,657
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,64,0
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,128,0
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,256,334
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,432,466
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,dense,400
13b_random,13b,random,A6_intercept_only,intercept_only,0,64,0
13b_random,13b,random,A6_intercept_only,intercept_only,0,128,0
13b_random,13b,random,A6_intercept_only,intercept_only,0,256,0
13b_random,13b,random,A6_intercept_only,intercept_only,0,432,403
13b_random,13b,random,A6_intercept_only,intercept_only,0,dense,797
