method,sample_id,split,dataset,budget,dense_correct,dense_reliant,eligible_interventions,answer_fidelity,intervention_pass,intervention_answer_fidelity,legacy_flip_safe,reference_safe,combined_gold_safe,safety_pattern_64_128_256_432,minimum_observed_safe_budget,monotonic
fastv,mmstar_000042,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000047,test,mmstar,64,True,True,gray|blur|irrelevant,False,False,True,False,False,False,0111,128,True
fastv,mmstar_000047,test,mmstar,128,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000047,test,mmstar,256,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000047,test,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000051,test,mmstar,64,True,True,gray|blur,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000051,test,mmstar,128,True,True,gray|blur,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000051,test,mmstar,256,True,True,gray|blur,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000051,test,mmstar,432,True,True,gray|blur,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000053,test,mmstar,64,True,True,gray|irrelevant,False,False,True,False,False,False,0011,256,True
fastv,mmstar_000053,test,mmstar,128,True,True,gray|irrelevant,True,False,False,False,False,False,0011,256,True
fastv,mmstar_000053,test,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000053,test,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000061,test,mmstar,64,False,True,blur|irrelevant,True,True,False,True,False,,0000,full,True
fastv,mmstar_000061,test,mmstar,128,False,True,blur|irrelevant,True,True,False,True,False,,0000,full,True
fastv,mmstar_000061,test,mmstar,256,False,True,blur|irrelevant,True,True,False,True,False,,0000,full,True
fastv,mmstar_000061,test,mmstar,432,False,True,blur|irrelevant,True,True,False,True,False,,0000,full,True
fastv,mmstar_000067,test,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000067,test,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000067,test,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000067,test,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000069,test,mmstar,64,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000069,test,mmstar,128,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000069,test,mmstar,256,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000069,test,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000075,test,mmstar,64,False,True,irrelevant,True,True,False,True,False,,0001,432,True
fastv,mmstar_000075,test,mmstar,128,False,True,irrelevant,False,False,False,False,False,,0001,432,True
fastv,mmstar_000075,test,mmstar,256,False,True,irrelevant,True,True,False,True,False,,0001,432,True
fastv,mmstar_000075,test,mmstar,432,False,True,irrelevant,True,True,True,True,True,,0001,432,True
fastv,mmstar_000085,test,mmstar,64,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000085,test,mmstar,128,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000085,test,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000085,test,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000087,test,mmstar,64,True,True,irrelevant,True,True,False,True,False,False,0001,432,True
fastv,mmstar_000087,test,mmstar,128,True,True,irrelevant,True,True,False,True,False,False,0001,432,True
fastv,mmstar_000087,test,mmstar,256,True,True,irrelevant,True,True,False,True,False,False,0001,432,True
fastv,mmstar_000087,test,mmstar,432,True,True,irrelevant,True,True,True,True,True,True,0001,432,True
fastv,mmstar_000096,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000096,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000096,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000096,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000112,test,mmstar,64,False,True,irrelevant,False,True,False,False,False,,0001,432,True
fastv,mmstar_000112,test,mmstar,128,False,True,irrelevant,True,False,False,False,False,,0001,432,True
fastv,mmstar_000112,test,mmstar,256,False,True,irrelevant,True,False,False,False,False,,0001,432,True
fastv,mmstar_000112,test,mmstar,432,False,True,irrelevant,True,True,True,True,True,,0001,432,True
fastv,mmstar_000118,test,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000118,test,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000118,test,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000118,test,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000120,test,mmstar,64,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000120,test,mmstar,128,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000120,test,mmstar,256,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000120,test,mmstar,432,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000122,test,mmstar,64,False,True,blur,False,True,False,False,False,,0011,256,True
fastv,mmstar_000122,test,mmstar,128,False,True,blur,False,False,True,False,False,,0011,256,True
fastv,mmstar_000122,test,mmstar,256,False,True,blur,True,True,True,True,True,,0011,256,True
fastv,mmstar_000122,test,mmstar,432,False,True,blur,True,True,True,True,True,,0011,256,True
fastv,mmstar_000132,test,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1011,64,False
fastv,mmstar_000132,test,mmstar,128,True,True,gray|irrelevant,True,True,False,True,False,False,1011,64,False
fastv,mmstar_000132,test,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1011,64,False
fastv,mmstar_000132,test,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1011,64,False
fastv,mmstar_000133,test,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000133,test,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000133,test,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000133,test,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000138,test,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000138,test,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000138,test,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000138,test,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000140,test,mmstar,64,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000140,test,mmstar,128,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000140,test,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000140,test,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000141,test,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000141,test,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000141,test,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000141,test,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000142,test,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000142,test,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000142,test,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000142,test,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000144,test,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000144,test,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000144,test,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000144,test,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000146,test,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000146,test,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000146,test,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000146,test,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000148,test,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000148,test,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000148,test,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000148,test,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000149,test,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000149,test,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000149,test,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000149,test,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000151,test,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000151,test,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000151,test,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000151,test,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000159,test,mmstar,64,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000159,test,mmstar,128,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000159,test,mmstar,256,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000159,test,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000161,test,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000161,test,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000161,test,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000161,test,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000162,test,mmstar,64,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000162,test,mmstar,128,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000162,test,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000162,test,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000164,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000164,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000164,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000164,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000165,validation,mmstar,64,True,True,gray|blur|irrelevant,False,False,True,False,False,False,0111,128,True
fastv,mmstar_000165,validation,mmstar,128,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000165,validation,mmstar,256,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000165,validation,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000168,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000168,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000168,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000168,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000173,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000173,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000173,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000173,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000177,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000177,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000177,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000177,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000182,test,mmstar,64,True,True,irrelevant,False,True,True,False,False,False,0111,128,True
fastv,mmstar_000182,test,mmstar,128,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000182,test,mmstar,256,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000182,test,mmstar,432,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000188,validation,mmstar,64,True,True,blur,True,False,False,False,False,False,0011,256,True
fastv,mmstar_000188,validation,mmstar,128,True,True,blur,True,False,False,False,False,False,0011,256,True
fastv,mmstar_000188,validation,mmstar,256,True,True,blur,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000188,validation,mmstar,432,True,True,blur,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000189,test,mmstar,64,True,True,blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000189,test,mmstar,128,True,True,blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000189,test,mmstar,256,True,True,blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000189,test,mmstar,432,True,True,blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000190,test,mmstar,64,False,True,gray|irrelevant,False,False,True,False,False,,0111,128,True
fastv,mmstar_000190,test,mmstar,128,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000190,test,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000190,test,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000201,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000201,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000201,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000201,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000202,test,mmstar,64,True,True,irrelevant,True,True,False,True,False,False,0111,128,True
fastv,mmstar_000202,test,mmstar,128,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000202,test,mmstar,256,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000202,test,mmstar,432,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000203,validation,mmstar,64,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000203,validation,mmstar,128,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000203,validation,mmstar,256,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000203,validation,mmstar,432,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000206,test,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000206,test,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000206,test,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000206,test,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000208,test,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000208,test,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000208,test,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000208,test,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000209,validation,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000209,validation,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000209,validation,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000209,validation,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000212,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000212,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000212,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000212,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000215,test,mmstar,64,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1101,64,False
fastv,mmstar_000215,test,mmstar,128,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1101,64,False
fastv,mmstar_000215,test,mmstar,256,True,True,gray|blur|irrelevant,True,False,False,False,False,False,1101,64,False
fastv,mmstar_000215,test,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1101,64,False
fastv,mmstar_000217,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000217,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000217,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000217,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000221,test,mmstar,64,True,True,gray|blur|irrelevant,False,False,True,False,False,False,0011,256,True
fastv,mmstar_000221,test,mmstar,128,True,True,gray|blur|irrelevant,True,True,False,True,False,False,0011,256,True
fastv,mmstar_000221,test,mmstar,256,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000221,test,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000222,test,mmstar,64,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000222,test,mmstar,128,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000222,test,mmstar,256,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000222,test,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000223,test,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000223,test,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000223,test,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000223,test,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000224,test,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000224,test,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000224,test,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000224,test,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000226,test,mmstar,64,True,True,gray|blur|irrelevant,True,True,False,True,False,False,0111,128,True
fastv,mmstar_000226,test,mmstar,128,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000226,test,mmstar,256,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000226,test,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000230,test,mmstar,64,True,True,gray|irrelevant,False,True,False,False,False,False,0011,256,True
fastv,mmstar_000230,test,mmstar,128,True,True,gray|irrelevant,True,True,False,True,False,False,0011,256,True
fastv,mmstar_000230,test,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000230,test,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000232,validation,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000232,validation,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000232,validation,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000232,validation,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000249,test,mmstar,64,True,True,irrelevant,True,False,False,False,False,False,0001,432,True
fastv,mmstar_000249,test,mmstar,128,True,True,irrelevant,True,False,False,False,False,False,0001,432,True
fastv,mmstar_000249,test,mmstar,256,True,True,irrelevant,True,False,False,False,False,False,0001,432,True
fastv,mmstar_000249,test,mmstar,432,True,True,irrelevant,True,True,True,True,True,True,0001,432,True
fastv,mmstar_000251,test,mmstar,64,True,True,gray|blur|irrelevant,False,False,True,False,False,False,0111,128,True
fastv,mmstar_000251,test,mmstar,128,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000251,test,mmstar,256,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000251,test,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000252,test,mmstar,64,False,True,gray|irrelevant,True,False,False,False,False,,0111,128,True
fastv,mmstar_000252,test,mmstar,128,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000252,test,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000252,test,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000253,test,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000253,test,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000253,test,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
