dataset,dense_gpu_energy_joule,gpu_energy_joule,latency_ms,method,model,provenance,sample_id,seed,selected_budget,supported_correct,task_correct,unsafe_acceptance
pope_adversarial,37.78483259677887,17.65237111568451,97.13268099585548,fastv,7b,development,pope_adversarial_000303,2101,432,False,True,False
pope_popular,40.00314922451973,20.735327011346815,109.29276800015941,fastv,7b,prospective,pope_popular_002047,2101,432,False,True,False
mmstar,42.628056446313856,24.793110263347625,112.76423200615682,fastv,7b,development,mmstar_000861,2101,dense,False,False,False
mmstar,46.983275928497314,27.09744029998779,111.66365300596226,fastv,7b,development,mmstar_001058,2101,432,False,False,False
visual_counterfact_color,41.11519667744636,27.32365672588348,92.08578300604131,fastv,7b,development,visual_counterfact_color_000421,2101,432,True,True,False
visual_counterfact_size,36.99290460348129,33.70544164896011,110.68934301147237,fastv,7b,development,visual_counterfact_size_000353,2101,dense,False,False,False
pope_random,31.512211391925813,38.0438177204132,112.95131999941077,fastv,7b,development,pope_random_000659,2101,432,False,True,False
visual_counterfact_color,34.934333777427675,38.954197024106975,114.25194700132124,fastv,7b,development,visual_counterfact_color_000028,2101,432,True,True,False
mmstar,30.82637558460236,31.821754610538477,90.61404700332787,fastv,7b,prospective,mmstar_000369,2101,dense,False,False,False
mmstar,39.61209741592407,51.308417025804516,145.861385986791,fastv,7b,prospective,mmstar_001012,2101,dense,False,False,False
mmstar,126.21385438203811,67.65357445001602,199.58210799086373,fastv,7b,prospective,mmstar_001031,2101,432,False,False,False
visual_counterfact_size,25.139641703367232,60.36957082033157,193.27061300282367,fastv,7b,prospective,visual_counterfact_size_000545,2101,dense,True,True,False
mmstar,29.678789303302764,41.14754847049713,134.73928801249713,fastv,7b,development,mmstar_000488,2101,432,False,False,False
mmstar,88.38243522047996,70.24473152279855,220.44716599339154,fastv,7b,prospective,mmstar_000089,2101,dense,False,True,False
mmstar,25.861540442705152,33.3685319852829,100.33890898921527,fastv,7b,development,mmstar_000252,2101,dense,False,False,False
mmstar,25.34735312461853,33.40727594852447,95.0570019922452,fastv,7b,prospective,mmstar_000092,2101,dense,False,True,False
visual_counterfact_size,32.07998991608619,38.664004027843475,107.90079199068714,fastv,7b,development,visual_counterfact_size_000645,2101,dense,False,False,False
mmstar,56.78985991477966,62.56563700556756,165.88704100286122,fastv,7b,development,mmstar_001028,2101,dense,False,False,False
pope_popular,30.48323409318924,37.91822340250016,94.79114499117713,fastv,7b,prospective,pope_popular_001272,2101,432,False,False,False
visual_counterfact_color,31.556942439079286,39.099104028940204,94.99461301311385,fastv,7b,development,visual_counterfact_color_000128,2101,432,True,True,False
mmstar,32.99754495859146,42.92398662209511,97.45660799671896,fastv,7b,prospective,mmstar_001467,2101,dense,False,False,False
mmstar,36.573868718147274,40.48558781147003,89.195081993239,fastv,7b,prospective,mmstar_000495,2101,432,False,False,False
visual_counterfact_color,41.857740986347196,49.12632909297943,103.08438100037165,fastv,7b,prospective,visual_counterfact_color_000024,2101,432,True,True,False
pope_adversarial,68.24496245980262,45.61445099115372,93.89819399802946,fastv,7b,development,pope_adversarial_000342,2101,432,True,True,False
visual_counterfact_color,76.20403475642205,47.17312868237495,97.2852389968466,fastv,7b,prospective,visual_counterfact_color_000341,2101,432,True,True,False
visual_counterfact_color,70.08658554911614,42.32085531234741,87.35313100623898,fastv,7b,development,visual_counterfact_color_000162,2101,432,True,True,False
visual_counterfact_color,57.14988131642341,55.048996895551674,118.37884499982465,fastv,7b,prospective,visual_counterfact_color_000049,2101,432,True,True,False
pope_adversarial,46.00180685043335,41.47297379136085,91.10930300084874,fastv,7b,prospective,pope_adversarial_001038,2101,432,False,False,False
mmstar,39.694282662868495,36.72187960386277,91.4343289914541,fastv,7b,prospective,mmstar_000428,2101,432,False,False,False
mmstar,45.45842069268227,35.90060547590256,89.41575999779161,fastv,7b,prospective,mmstar_000012,2101,dense,False,False,False
pope_popular,50.50168349266052,33.733150749206544,98.36302901385352,fastv,7b,development,pope_popular_000596,2101,432,True,True,False
pope_adversarial,39.24138458251953,31.185929052829742,93.90386400627904,fastv,7b,prospective,pope_adversarial_001854,2101,432,False,False,False
visual_counterfact_size,47.748332507610314,30.264674742221832,100.02110099594574,fastv,7b,development,visual_counterfact_size_000108,2101,dense,False,False,False
pope_random,45.899909341335295,27.339247417449954,93.12531199248042,fastv,7b,prospective,pope_random_002400,2101,432,True,True,False
pope_popular,54.72255822300911,24.902814292907713,91.85225500550587,fastv,7b,development,pope_popular_000276,2101,432,False,False,False
pope_random,55.38673959374428,24.299543437957766,90.6343270034995,fastv,7b,development,pope_random_000749,2101,432,False,True,False
mmstar,55.85753321170807,27.11751297950745,106.0199400089914,fastv,7b,development,mmstar_001180,2101,dense,True,True,False
visual_counterfact_color,53.824500360488884,26.254434757232666,94.0675620076945,fastv,7b,development,visual_counterfact_color_000444,2101,432,True,True,False
visual_counterfact_color,30.09128617286682,28.866389517784118,99.40064798865933,fastv,7b,development,visual_counterfact_color_000342,2101,432,True,True,False
pope_adversarial,22.733063436746598,32.14083694219589,93.96730300795753,fastv,7b,development,pope_adversarial_000334,2101,432,True,True,False
pope_random,21.659614984989165,35.126572387218474,96.82903399516363,fastv,7b,development,pope_random_000570,2101,432,True,True,False
visual_counterfact_color,31.71787692427635,38.09305074334144,94.34154999325983,fastv,7b,development,visual_counterfact_color_000303,2101,432,True,True,False
visual_counterfact_size,30.81844944000244,49.856451112031934,119.07430799328722,fastv,7b,development,visual_counterfact_size_000287,2101,dense,True,True,False
mmstar,25.423194254636762,39.47245560765266,92.30689000105485,fastv,7b,development,mmstar_000533,2101,432,False,False,False
mmstar,26.348009250164033,39.04693277001381,92.33164999750443,fastv,7b,development,mmstar_001254,2101,dense,False,False,False
visual_counterfact_size,29.39830203771591,41.313317403793334,102.16044999833684,fastv,7b,development,visual_counterfact_size_000218,2101,dense,True,True,False
visual_counterfact_color,24.883071975708013,37.46455648899078,93.74335600296035,fastv,7b,prospective,visual_counterfact_color_000071,2101,432,True,True,False
mmstar,31.653772029876716,42.07890433073044,109.13297899242025,fastv,7b,development,mmstar_000787,2101,432,False,True,False
mmstar,27.847519340515138,39.12902690887451,101.90552299900446,fastv,7b,prospective,mmstar_001490,2101,dense,False,True,False
mmstar,42.904719864130016,58.141440010070795,152.480917997309,fastv,7b,prospective,mmstar_000589,2101,dense,False,False,False
mmstar,30.323254357576367,31.652706241607664,92.80422600568272,fastv,7b,development,mmstar_000903,2101,432,False,False,False
mmstar,30.157185055017464,31.160016651153562,91.3604000088526,fastv,7b,prospective,mmstar_000597,2101,dense,True,True,False
visual_counterfact_color,32.91298824310302,28.83585864186287,98.71725499397144,fastv,7b,development,visual_counterfact_color_000464,2101,432,True,True,False
mmstar,31.94352240085602,27.71989145278931,95.10614200553391,fastv,7b,development,mmstar_001008,2101,dense,False,False,False
pope_popular,32.5765263748169,25.60355160474777,92.12206199299544,fastv,7b,prospective,pope_popular_002430,2101,432,True,True,False
mmstar,35.526943368911745,25.6805538713932,92.4211289966479,fastv,7b,development,mmstar_000714,2101,dense,True,True,False
pope_popular,36.97174403309822,20.859728170633314,103.27372800384182,fastv,7b,development,pope_popular_000581,2101,432,False,True,False
mmstar,42.632247986793516,20.490352307558062,101.45529800502118,fastv,7b,development,mmstar_000568,2101,dense,False,False,False
visual_counterfact_size,52.29795886039734,25.64109971046448,126.94701799773611,fastv,7b,development,visual_counterfact_size_000275,2101,dense,True,True,False
pope_random,38.10859442710876,22.032077335119247,92.33695000875741,fastv,7b,prospective,pope_random_001278,2101,432,True,True,False
mmstar,39.608283348083496,21.322885051965713,89.38456000760198,fastv,7b,development,mmstar_001459,2101,dense,True,True,False
pope_adversarial,33.844168709516524,24.128987134695056,91.62596700480208,fastv,7b,prospective,pope_adversarial_002790,2101,432,False,False,False
visual_counterfact_size,37.86650516271591,26.9538676071167,101.56017600093037,fastv,7b,prospective,visual_counterfact_size_000049,2101,dense,True,True,False
pope_random,27.25470054149628,27.76094712972641,90.6361470115371,fastv,7b,prospective,pope_random_000876,2101,432,True,True,False
pope_popular,26.90310269594193,29.104542083740235,94.11450200423133,fastv,7b,development,pope_popular_000588,2101,432,True,True,False
mmstar,22.93368097305298,31.007380412817,90.6606969947461,fastv,7b,development,mmstar_000201,2101,432,False,True,False
mmstar,22.21349240541458,32.471114255189896,93.47462900041137,fastv,7b,prospective,mmstar_000166,2101,432,False,True,False
mmstar,56.72826949238777,33.54045030355453,94.96313300041948,fastv,7b,prospective,mmstar_000757,2101,432,False,False,False
mmstar,13.817059621810914,33.36666040420532,94.09406199119985,fastv,7b,prospective,mmstar_000207,2101,432,False,True,False
pope_random,15.06564683675766,32.62281743884086,91.13862300000619,fastv,7b,development,pope_random_000033,2101,432,False,True,False
mmstar,21.28983141541481,44.02226617336273,122.66247099614702,fastv,7b,development,mmstar_000096,2101,dense,False,True,False
visual_counterfact_color,18.054685292243956,33.49557862520218,91.72168700024486,fastv,7b,development,visual_counterfact_color_000405,2101,432,True,True,False
mmstar,32.42102244973182,50.62812345027923,138.61292900401168,fastv,7b,development,mmstar_001233,2101,dense,False,False,False
mmstar,27.334283399581906,37.37481041669845,102.15590998996049,fastv,7b,development,mmstar_001273,2101,dense,False,False,False
mmstar,33.93434745669365,40.3047420167923,106.94133100332692,fastv,7b,prospective,mmstar_000438,2101,432,False,False,False
pope_random,32.955880151987074,37.43445726633072,96.68802600936033,fastv,7b,development,pope_random_000540,2101,432,False,False,False
visual_counterfact_size,35.316925978660585,42.84163449764252,107.59211399999913,fastv,7b,prospective,visual_counterfact_size_000064,2101,dense,False,False,False
pope_popular,32.999497700929645,38.308440284729,94.97082300367765,fastv,7b,prospective,pope_popular_001369,2101,432,False,True,False
mmstar,36.404885609149936,39.76716604948044,100.57528599281795,fastv,7b,development,mmstar_000977,2101,dense,False,False,False
mmstar,43.20863737940788,35.84427841186523,91.66653700231109,fastv,7b,prospective,mmstar_001470,2101,dense,False,True,False
mmstar,42.88522188186646,32.68904163360596,87.37374100019224,fastv,7b,prospective,mmstar_001261,2101,dense,False,True,False
pope_random,37.46779306411744,34.39125789642334,91.90654499980155,fastv,7b,development,pope_random_000152,2101,432,True,True,False
mmstar,49.493266334533686,30.842672731876373,91.25514100014698,fastv,7b,development,mmstar_001328,2101,dense,True,True,False
mmstar,163.9355789363384,78.47091469287872,250.3574520087568,fastv,7b,prospective,mmstar_001122,2101,256,False,True,False
pope_popular,27.647403800487517,26.249552682638168,94.27967999363318,fastv,7b,development,pope_popular_000455,2101,432,False,True,False
visual_counterfact_size,40.33070187568665,36.15502209663391,133.61504999920726,fastv,7b,prospective,visual_counterfact_size_000015,2101,dense,True,True,False
pope_popular,27.737117195129393,22.393943452835085,91.03102399967611,fastv,7b,prospective,pope_popular_002425,2101,432,True,True,False
pope_popular,28.452316269874572,21.640706405639648,88.40603000135161,fastv,7b,development,pope_popular_000334,2101,432,True,True,False
pope_adversarial,25.19368347287178,22.044346815347673,92.96373400138691,fastv,7b,development,pope_adversarial_000165,2101,432,False,True,False
pope_popular,24.45447213292122,21.496429789066315,90.40535999520216,fastv,7b,prospective,pope_popular_001086,2101,432,True,True,False
visual_counterfact_size,31.29897714495659,29.43336435556412,117.50714399386197,fastv,7b,development,visual_counterfact_size_000364,2101,dense,True,True,False
pope_random,28.44408539056778,26.521506999731066,101.45493700110819,fastv,7b,prospective,pope_random_002766,2101,432,True,True,False
visual_counterfact_color,28.946571762561796,30.437035894393922,107.00825099775102,fastv,7b,development,visual_counterfact_color_000004,2101,432,True,True,False
pope_random,27.747983820438385,29.75793435096741,98.13135099830106,fastv,7b,prospective,pope_random_001520,2101,432,True,True,False
mmstar,29.71032217741013,37.06935905456543,114.08946900337469,fastv,7b,development,mmstar_001428,2101,432,False,True,False
visual_counterfact_color,33.053871529102324,34.81060728669166,103.06671098805964,fastv,7b,prospective,visual_counterfact_color_000442,2101,432,True,True,False
visual_counterfact_size,39.45879414796829,41.17372624516487,119.4676439918112,fastv,7b,prospective,visual_counterfact_size_000171,2101,dense,True,True,False
mmstar,99.17143772363661,99.83862669467925,275.77421299065463,fastv,7b,prospective,mmstar_001035,2101,dense,True,True,False
mmstar,33.76871448278427,33.793307609558106,90.90905499760993,fastv,7b,development,mmstar_000009,2101,432,False,False,True
mmstar,35.2865518605709,33.055494389534,90.35427999333479,fastv,7b,prospective,mmstar_000741,2101,dense,False,True,False
pope_adversarial,35.885707426071164,32.774680283069614,89.68743700825144,fastv,7b,development,pope_adversarial_000434,2101,432,False,False,False
visual_counterfact_color,36.82750800490379,32.15832957386971,95.64441599650308,fastv,7b,development,visual_counterfact_color_000093,2101,432,True,True,False
pope_popular,38.4770497751236,31.764964352846143,96.56452700437512,fastv,7b,development,pope_popular_000351,2101,432,False,True,False
visual_counterfact_size,42.19777989864349,32.49742260813713,104.70693399838638,fastv,7b,development,visual_counterfact_size_000100,2101,dense,True,True,False
visual_counterfact_size,139.38113669514655,40.15122459053993,130.17453500651754,fastv,7b,prospective,visual_counterfact_size_000155,2101,dense,True,True,False
visual_counterfact_size,43.380316982269285,32.46338408112526,102.08494999096729,fastv,7b,development,visual_counterfact_size_000233,2101,dense,True,True,False
mmstar,35.791319591999056,29.5126320374012,91.96056298969779,fastv,7b,prospective,mmstar_000797,2101,432,False,False,False
visual_counterfact_color,38.39451003074646,30.349438505172728,92.218801000854,fastv,7b,development,visual_counterfact_color_000255,2101,432,True,True,False
mmstar,37.64354357242584,29.217065992355348,88.76828700886108,fastv,7b,development,mmstar_000832,2101,dense,True,True,False
visual_counterfact_size,53.11720593214035,42.7179647564888,129.55799100745935,fastv,7b,prospective,visual_counterfact_size_000033,2101,dense,True,True,False
visual_counterfact_size,45.88136311531067,42.052025328874585,125.96702699374873,fastv,7b,development,visual_counterfact_size_000518,2101,dense,True,True,False
pope_random,35.711121081113816,31.8103738451004,94.48957799759228,fastv,7b,prospective,pope_random_001814,2101,432,True,True,False
visual_counterfact_size,54.81746380925179,51.082711095809934,147.42534900142346,fastv,7b,development,visual_counterfact_size_000361,2101,dense,True,True,False
mmstar,35.84035586714745,38.316620287895205,107.77765199600253,fastv,7b,development,mmstar_000686,2101,dense,False,False,False
visual_counterfact_size,42.03782872915268,43.12061855792999,117.11403800291009,fastv,7b,prospective,visual_counterfact_size_000540,2101,dense,True,True,False
pope_popular,37.8136372423172,35.87642387747765,91.82364500884432,fastv,7b,prospective,pope_popular_000960,2101,432,True,True,False
visual_counterfact_color,40.386052402257924,37.95577869176865,93.84157400927506,fastv,7b,prospective,visual_counterfact_color_000186,2101,432,True,True,False
visual_counterfact_color,48.265385354757306,50.332792588472365,119.1061669960618,fastv,7b,prospective,visual_counterfact_color_000055,2101,432,True,True,False
mmstar,33.02883905649185,39.420620326995845,91.50111899361946,fastv,7b,prospective,mmstar_001350,2101,432,False,True,False
visual_counterfact_size,40.05649663209915,48.516237843036656,114.49128499953076,fastv,7b,development,visual_counterfact_size_000676,2101,dense,True,True,False
visual_counterfact_color,46.0769969522953,56.40670106410981,132.42399199225474,fastv,7b,prospective,visual_counterfact_color_000107,2101,432,True,True,False
pope_popular,31.414211761951446,42.540342795848844,103.55497599812225,fastv,7b,development,pope_popular_000407,2101,432,False,True,False
visual_counterfact_color,30.84280396103859,39.55770583510399,94.99284299090505,fastv,7b,development,visual_counterfact_color_000133,2101,432,True,True,False
pope_adversarial,32.61154789686203,41.79008102178574,98.77588500967249,fastv,7b,development,pope_adversarial_000551,2101,432,False,True,False
pope_random,33.42545100688935,34.41711027383804,90.42467900144402,fastv,7b,prospective,pope_random_002370,2101,432,False,False,False
pope_random,35.15126231074333,32.77060843706131,88.23056200344581,fastv,7b,prospective,pope_random_001872,2101,432,False,False,False
visual_counterfact_size,39.051131573915484,38.11238204956055,98.99677299836185,fastv,7b,development,visual_counterfact_size_000254,2101,dense,False,False,False
visual_counterfact_color,40.169643332958216,40.30561939716339,102.37491800216958,fastv,7b,development,visual_counterfact_color_000323,2101,432,True,True,False
mmstar,34.3657428586483,37.566530396938326,91.39353899809066,fastv,7b,prospective,mmstar_001326,2101,432,True,True,False
visual_counterfact_size,36.11274000167847,42.21750391125679,100.74040500330739,fastv,7b,development,visual_counterfact_size_000421,2101,dense,True,True,False
pope_adversarial,26.432730388641353,36.16118172287941,90.68644599756226,fastv,7b,prospective,pope_adversarial_001254,2101,432,False,False,False
mmstar,28.144662129878995,37.61583510279655,94.48318800423294,fastv,7b,development,mmstar_000548,2101,432,False,False,False
mmstar,25.28109490871429,39.24932292580605,107.06288999062963,fastv,7b,prospective,mmstar_000777,2101,dense,False,False,False
pope_random,27.167172454595562,33.80808766722679,92.93241400155239,fastv,7b,development,pope_random_000404,2101,432,True,True,False
visual_counterfact_color,28.192208496332167,38.920487408638,112.31186700752005,fastv,7b,prospective,visual_counterfact_color_000319,2101,432,True,True,False
visual_counterfact_color,27.74538123130798,38.46603110074997,116.06044799555093,fastv,7b,prospective,visual_counterfact_color_000176,2101,432,True,True,False
visual_counterfact_color,26.881427164077756,35.18314754605293,113.38503599108662,fastv,7b,development,visual_counterfact_color_000262,2101,432,True,True,False
mmstar,25.196103966236112,30.478882802724833,100.44472801382653,fastv,7b,development,mmstar_000606,2101,432,False,False,False
mmstar,64.17433769106864,75.87040759801864,253.35270100913476,fastv,7b,prospective,mmstar_000613,2101,432,False,False,False
mmstar,27.80488421916962,27.01591469407082,88.41441999538802,fastv,7b,prospective,mmstar_000691,2101,dense,True,True,False
visual_counterfact_color,42.169522193670275,48.50882112979889,142.42534000368323,fastv,7b,development,visual_counterfact_color_000436,2101,432,True,True,False
pope_adversarial,25.857585228681565,35.74140176296234,96.70765600458253,fastv,7b,prospective,pope_adversarial_001830,2101,432,False,False,False
pope_adversarial,23.876305243968964,35.26327031135559,91.2773699965328,fastv,7b,prospective,pope_adversarial_001392,2101,432,True,True,False
mmstar,31.156704946756363,55.02255316615105,136.81152800563723,fastv,7b,prospective,mmstar_000732,2101,dense,True,True,False
pope_random,24.358207149505617,37.10709010720253,91.02983299817424,fastv,7b,development,pope_random_000047,2101,432,False,True,False
visual_counterfact_size,31.538214645385743,47.666252390146255,125.8842690003803,fastv,7b,prospective,visual_counterfact_size_000575,2101,dense,True,True,False
mmstar,28.139263701438907,39.40850484132767,104.92765200615395,fastv,7b,development,mmstar_001034,2101,dense,False,False,False
visual_counterfact_color,25.662878022193908,36.1633249092102,97.75003499817103,fastv,7b,prospective,visual_counterfact_color_000309,2101,432,True,True,False
visual_counterfact_size,35.22567447900772,49.37405284166336,126.56899099238217,fastv,7b,development,visual_counterfact_size_000621,2101,dense,True,True,False
mmstar,26.955500507354735,37.25841312408447,91.70201599772554,fastv,7b,development,mmstar_000168,2101,432,False,True,False
visual_counterfact_color,29.96730774641037,40.59007477760315,97.96052200545091,fastv,7b,prospective,visual_counterfact_color_000056,2101,432,True,True,False
pope_popular,26.998562341928483,39.181853152513504,93.75355600786861,fastv,7b,development,pope_popular_000220,2101,432,True,True,False
pope_random,26.58410817742348,37.66914370298386,89.00134399300441,fastv,7b,development,pope_random_000243,2101,432,False,True,False
visual_counterfact_color,26.993471848964692,38.10130579948425,89.66292699915357,fastv,7b,prospective,visual_counterfact_color_000173,2101,432,True,True,False
visual_counterfact_size,30.174553288221354,51.84452384710312,117.36874499183614,fastv,7b,prospective,visual_counterfact_size_000203,2101,dense,False,False,False
pope_random,22.979263985157015,41.41447837114334,92.29927998967469,fastv,7b,development,pope_random_000674,2101,432,True,True,False
visual_counterfact_color,18.715320168733598,40.03985264539719,88.71603700390551,fastv,7b,development,visual_counterfact_color_000409,2101,432,True,True,False
mmstar,22.455621218681337,50.10360193490982,110.87793100159615,fastv,7b,prospective,mmstar_000979,2101,432,True,True,False
pope_adversarial,17.666592025756838,38.494468535184865,91.53078800591175,fastv,7b,development,pope_adversarial_000612,2101,432,True,True,False
visual_counterfact_size,21.93836807370186,48.08594287633896,115.5616239993833,fastv,7b,development,visual_counterfact_size_000601,2101,dense,True,True,False
pope_adversarial,21.443156824111938,31.203496742248536,87.17674200306647,fastv,7b,development,pope_adversarial_000658,2101,432,False,False,False
mmstar,22.44769342184067,31.56558952331543,88.19237200077623,fastv,7b,development,mmstar_000476,2101,432,False,False,False
pope_popular,33.06637159466743,29.21403365731239,89.98665399849415,fastv,7b,development,pope_popular_000394,2101,432,True,True,False
visual_counterfact_size,28.885715360641477,39.076677488088606,122.7638010022929,fastv,7b,development,visual_counterfact_size_000132,2101,dense,True,True,False
visual_counterfact_size,22.735357427597044,43.4934131360054,143.62564698967617,fastv,7b,development,visual_counterfact_size_000487,2101,dense,True,True,False
mmstar,24.982459545135498,56.07072154283524,195.65429899375886,fastv,7b,development,mmstar_000118,2101,dense,True,True,False
pope_adversarial,24.553176760673523,57.44384060025215,212.4387369985925,fastv,7b,development,pope_adversarial_000278,2101,432,False,False,False
pope_adversarial,25.387603117227552,43.990862606763834,162.61126499739476,fastv,7b,development,pope_adversarial_000179,2101,432,False,True,False
pope_random,24.08539622426033,26.36215970873833,93.72540599724744,fastv,7b,development,pope_random_000143,2101,432,False,True,False
mmstar,33.26546095132828,35.22413119792939,119.59110300813336,fastv,7b,development,mmstar_001089,2101,432,False,True,False
visual_counterfact_color,27.166032018661497,27.15101148724556,88.7133069918491,fastv,7b,prospective,visual_counterfact_color_000448,2101,432,True,True,False
pope_popular,28.045175703763963,27.463096647262574,88.56647799257189,fastv,7b,development,pope_popular_000551,2101,432,False,True,False
mmstar,28.358479391336438,29.773794145584105,92.97690300445538,fastv,7b,development,mmstar_000421,2101,dense,False,False,False
mmstar,28.95944871902466,28.044453630447386,86.08802300295793,fastv,7b,development,mmstar_000222,2101,432,True,True,False
visual_counterfact_size,36.5222158908844,35.09725602507591,102.16702001343947,fastv,7b,development,visual_counterfact_size_000345,2101,dense,False,False,False
pope_popular,34.23980023860932,35.79050688028335,100.01482199004386,fastv,7b,prospective,pope_popular_002124,2101,432,True,True,False
visual_counterfact_size,53.87933896541596,50.43984938144684,131.93900699843653,fastv,7b,prospective,visual_counterfact_size_000391,2101,dense,False,False,False
pope_random,40.21760697603226,35.416721971035,90.4321990092285,fastv,7b,development,pope_random_000311,2101,432,False,True,False
pope_popular,43.71495606780052,33.25684142827988,90.23867100768257,fastv,7b,development,pope_popular_000660,2101,432,True,True,False
visual_counterfact_size,66.61651614427566,53.14067698001861,146.47573899128474,fastv,7b,development,visual_counterfact_size_000494,2101,dense,True,True,False
mmstar,51.90377829670906,32.459800171852116,92.71957600140013,fastv,7b,development,mmstar_001220,2101,dense,False,False,False
mmstar,36.49704978942871,30.42820182800293,86.87435601314064,fastv,7b,development,mmstar_000144,2101,432,False,False,False
visual_counterfact_size,22.517462134361267,14.34239249944687,85.7886769954348,scope,7b,prospective,visual_counterfact_size_000657,2101,dense,True,True,False
visual_counterfact_size,40.31047733783723,22.444296963214875,124.51915300334804,scope,7b,prospective,visual_counterfact_size_000325,2101,dense,True,True,False
visual_counterfact_size,38.45964538335801,24.187964152097702,119.2624160030391,scope,7b,prospective,visual_counterfact_size_000329,2101,dense,True,True,False
mmstar,29.626811752319338,22.122557924985884,88.7073869962478,scope,7b,development,mmstar_000146,2101,dense,False,False,False
visual_counterfact_color,34.53634873867035,25.862492947578428,100.01285199541599,scope,7b,development,visual_counterfact_color_000257,2101,dense,True,True,False
visual_counterfact_size,37.95271597981453,27.414673248529436,105.92315100075211,scope,7b,prospective,visual_counterfact_size_000050,2101,dense,False,False,False
mmstar,31.30617815494537,22.041457040309908,85.87331599846948,scope,7b,prospective,mmstar_000131,2101,dense,True,True,False
visual_counterfact_color,35.76227766275406,20.13407232284546,84.75555700715631,scope,7b,development,visual_counterfact_color_000268,2101,dense,True,True,False
mmstar,40.730680865049365,22.509733510017394,94.74416499142535,scope,7b,development,mmstar_001053,2101,dense,False,True,False
mmstar,86.64869023084641,53.854291731119154,207.36673900682945,scope,7b,development,mmstar_001013,2101,dense,False,False,False
visual_counterfact_color,37.4135545539856,27.78156001567841,95.36590900097508,scope,7b,prospective,visual_counterfact_color_000382,2101,dense,True,True,False
