blind_id,dataset,question,options,intervention_family,original_image,intervened_image,eligible_intervention_yes_no_uncertain,original_answer,intervened_answer,artifact_present_yes_no_uncertain,artifact_reason,confidence_1_to_5,notes
QA042,pope_popular,Is there a truck in the image?,"[""yes"", ""no""]",blur,images/QA042_original.jpg,images/QA042_intervened.png,,,,,,,
QA003,mmstar,"Which direction is the sun shining from?
Options: A: Right, B: Left, C: Up, D: Down","[""Right"", ""Left"", ""Up"", ""Down""]",blur,images/QA003_original.jpg,images/QA003_intervened.png,,,,,,,
QA006,pope_popular,Is there a tv in the image?,"[""yes"", ""no""]",blur,images/QA006_original.jpg,images/QA006_intervened.png,,,,,,,
QA015,pope_random,Is there a person in the image?,"[""yes"", ""no""]",blur,images/QA015_original.jpg,images/QA015_intervened.png,,,,,,,
QA002,pope_adversarial,Is there a bottle in the image?,"[""yes"", ""no""]",irrelevant,images/QA002_original.jpg,images/QA002_intervened.png,,,,,,,
QA008,mmstar,"In this comparison picture, are the left and right modules the same shape?
Options: A: same, B: Not the same, C: Can't judge, D: nan","[""same"", ""Not the same"", ""Can't judge"", ""nan""]",irrelevant,images/QA008_original.jpg,images/QA008_intervened.png,,,,,,,
QA019,pope_adversarial,Is there a donut in the image?,"[""yes"", ""no""]",constant_gray,images/QA019_original.jpg,images/QA019_intervened.png,,,,,,,
QA046,mmstar,"What is the main focus of this image?
Options: A: The grassy hill, B: The sculpture, C: The fence, D: The building","[""The grassy hill"", ""The sculpture"", ""The fence"", ""The building""]",constant_gray,images/QA046_original.jpg,images/QA046_intervened.png,,,,,,,
QA010,visual_counterfact_color,What color is the lifeboat in the image?,"[""orange"", ""pink""]",counterfactual,images/QA010_original.jpg,images/QA010_intervened.png,,,,,,,
QA027,visual_counterfact_size,What is the main object in the image?,"[""RV"", ""bittern""]",counterfactual,images/QA027_original.jpg,images/QA027_intervened.png,,,,,,,
QA017,pope_popular,Is there a person in the image?,"[""yes"", ""no""]",irrelevant,images/QA017_original.jpg,images/QA017_intervened.png,,,,,,,
QA037,mmstar,"Graph 1 shows the number of unemployed (in thousands) over a five-month period, organized by level of education completed. <image 1> The difference between the number of unemployed high school graduates and the number of unemployed workers without a high school diploma was smallest in ______.
Options: A: June, B: July, C: August, D: September","[""June"", ""July"", ""August"", ""September""]",constant_gray,images/QA037_original.jpg,images/QA037_intervened.png,,,,,,,
QA029,visual_counterfact_size,What is the main object in the image?,"[""ambulance"", ""cheese""]",counterfactual,images/QA029_original.jpg,images/QA029_intervened.png,,,,,,,
